,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
747,2020-01-17 18:00:00,61.05,62.5,57.9,59.32,498603.84903000,2020-01-18 17:59:59.999,29980576.63328180,97996,238893.23479000,14367974.09198270,0
748,2020-01-18 18:00:00,59.29,62.55,55.34,57.6,530916.40859000,2020-01-19 17:59:59.999,31173786.79126640,93326,243876.77467000,14314556.54856530,0
749,2020-01-19 18:00:00,57.59,58.29,55.84,57.19,262316.67258000,2020-01-20 17:59:59.999,14992782.87508550,44915,127133.85040000,7266284.81414450,0
750,2020-01-20 18:00:00,57.19,58.09,55.91,57.57,216543.72376000,2020-01-21 17:59:59.999,12411702.38582900,40186,108424.11974000,6217646.73720770,0
751,2020-01-21 18:00:00,57.6,59.33,57.18,58.33,218658.95477000,2020-01-22 17:59:59.999,12717189.46488600,41989,102281.74847000,5950973.03350060,0
752,2020-01-22 18:00:00,58.33,58.4,52.42,54.52,464982.43026000,2020-01-23 17:59:59.999,25617022.98127060,66050,212861.79207000,11724619.81524080,0
753,2020-01-23 18:00:00,54.52,55.41,50.64,54.38,550746.21423000,2020-01-24 17:59:59.999,29358272.10197650,69679,268575.33152000,14330237.68322520,0
754,2020-01-24 18:00:00,54.41,54.41,51.9,53.25,282004.92676000,2020-01-25 17:59:59.999,15034806.23812200,41164,137119.05350000,7309046.50467200,0
755,2020-01-25 18:00:00,53.26,56.68,52.8,56.24,348355.26494000,2020-01-26 17:59:59.999,19066690.28468520,45436,170242.74869000,9314784.84132630,0
756,2020-01-26 18:00:00,56.29,59.65,55.87,58.55,504725.67707000,2020-01-27 17:59:59.999,29245084.44984730,64059,250487.63385000,14512956.69686790,0
757,2020-01-27 18:00:00,58.55,61.61,57.28,60.52,720540.74548000,2020-01-28 17:59:59.999,42958185.64174930,89043,361368.02755000,21553055.46887200,0
758,2020-01-28 18:00:00,60.54,62.56,59.4,59.8,570079.36355000,2020-01-29 17:59:59.999,34698879.09787320,71327,278103.50024000,16940537.52167060,0
